CDPHId,ProductName,CSFId,CSF,CompanyId,CompanyName,BrandName,PrimaryCategoryId,PrimaryCategory,SubCategoryId,SubCategory,CasId,CasNumber,ChemicalId,ChemicalName,InitialDateReported,MostRecentDateReported,DiscontinuedDate,ChemicalCreatedAt,ChemicalUpdatedAt,ChemicalDateRemoved,ChemicalCount,DayNightUsage,SkinType,MaximumUsageDuration,ProductVolume,ProductRating,ReviewCount,ProductForm,TargetDemographic,IngredientCount,PackagingType,RecyclablePackaging,Certifications
15620,Sally Hansen Insta-Dri French Manicure,21982.0,Whirlwind White & Beige Blast,171,Coty,Sally Hansen,59,Nail Products,65,Nail Polish and Enamel,656,13463-67-7,23984,Titanium dioxide,11/15/2010,09/17/2013,2000-01-01,11/15/2010,11/15/2010,2000-01-01,1,Both,Sensitive,24 months,50ml,1.0,4589.0,cream,Adults,18.0,tube,Yes,Eco-Friendly
37891,"Color Couture Soak Off Nail Gel - Suns Out, Shades On",,,1035,Nail Alliance - Entity,Entity,59,Nail Products,168,UV Gel Nail Polish,656,13463-67-7,62251,Titanium dioxide,07/02/2019,07/02/2019,2000-01-01,07/02/2019,07/02/2019,2000-01-01,1,Day,Sensitive,12 months,15g,2.0,1610.0,cream,Men,26.0,tube,Yes,Organic
33371,TERRACOTTA - ELECTRIC LIGHT - COPPER BRONZING POWDER,,,298,GUERLAIN,GUERLAIN,44,Makeup Products (non-permanent),49,Face Powders,656,13463-67-7,53878,Titanium dioxide,06/21/2018,06/21/2018,2000-01-01,06/21/2018,06/21/2018,2000-01-01,1,Night,Normal,12 months,50ml,1.0,916.0,powder,Teens,17.0,jar,No,None
2633,Sally Hansen Maximum Growth Plus Nourishing Nail Color,4704.0,Baby Doll Frost,171,Coty,Sally Hansen,59,Nail Products,65,Nail Polish and Enamel,656,13463-67-7,6378,Titanium dioxide,10/07/2009,09/18/2013,2000-01-01,10/12/2009,10/12/2009,2000-01-01,2,Night,Oily,36 months,50ml,4.0,463.0,liquid,Adults,6.0,bottle,Yes,Vegan
36022,Colorstay Makeup Combo/Oily,55438.0,Mahogany,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,58042,Titanium dioxide,12/31/2018,02/01/2019,2000-01-01,12/31/2018,12/31/2018,2000-01-01,1,Night,Sensitive,36 months,30g,2.0,2789.0,cream,Children,20.0,jar,No,None
5933,MARK. LASH SPLASH HOOK UP WATERPRROF MASCARA-ALL SHADES �,,,4,New Avon LLC,MARK,44,Makeup Products (non-permanent),46,Eyeliner/Eyebrow Pencils,656,13463-67-7,9828,Titanium dioxide,10/19/2009,10/09/2013,04/15/2012,10/19/2009,10/19/2009,2000-01-01,1,Day,Normal,24 months,200ml,2.0,3430.0,solid,Men,28.0,bottle,No,None
36064,Hair Chalk,55404.0,291C,1142,"Centric Beauty, LLC",Claire's,32,Hair Coloring Products,43,Other Hair Coloring Product,656,13463-67-7,58115,Titanium dioxide,01/03/2019,01/03/2019,2000-01-01,01/03/2019,01/03/2019,2000-01-01,1,Day,Sensitive,12 months,50ml,5.0,4557.0,cream,Teens,10.0,tube,No,None
40369,OHANA MAHAALO Ceayon de parfum [Koloa kamali'i] (Soild Perfume),,,1341,"Oceana USA, Inc.",FRAGRANCY ,12,Fragrances,165,Perfumes - Solids and Powders,776,13463-67-7,66084,"Silica, crystalline (airborne particles of respirable size)",11/11/2019,11/11/2019,2000-01-01,11/11/2019,11/11/2019,2000-01-01,2,Both,Oily,36 months,200ml,5.0,3887.0,gel,Children,14.0,bottle,Yes,None
22616,Baked Eye Trio,44105.0,Neapolittan,292,Mary Kay Inc.,Mary Kay,44,Makeup Products (non-permanent),46,Eyeliner/Eyebrow Pencils,656,13463-67-7,34341,Titanium dioxide,03/26/2014,05/17/2016,2000-01-01,03/26/2014,08/06/2015,2000-01-01,1,Night,Normal,12 months,15g,2.0,4369.0,solid,Adults,25.0,jar,Yes,None
15045,Ocean Scented Hand Soap,21020.0,FDS&X Blue No 1,717,"Greenbrier International, Inc.",Panrosa,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),162,68603-42-9,23045,Cocamide diethanolamine,08/06/2010,12/30/2010,2000-01-01,08/06/2010,08/06/2010,2000-01-01,1,Both,Normal,36 months,50ml,4.0,4096.0,cream,Teens,16.0,jar,No,None
